AccountID,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerOccupation,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount,TransactionAmount_log,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos
253,1,26,182,275,63,0,1,0.6366998593883324,-1.3101291680739329,-0.2067936485059295,0.8481426350054854,18.23,2.9564715596006885,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
185,1,14,295,590,10,1,0,0.41183745781601633,-1.0670978399123172,-0.2067936485059295,0.03155174305379073,333.97,5.814040975576219,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
164,1,15,100,158,18,0,2,1.0302090621398854,-0.6096271045492758,-0.2067936485059295,0.7049179605338582,446.39,6.103430697442801,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
21,1,37,632,128,8,2,2,1.9858742688222286,-0.8526584327108915,-0.2067936485059295,0.1171968164761997,1.82,1.0367368849500223,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
299,1,30,31,281,70,2,3,-1.443277355155591,-0.995618037511842,-0.2067936485059295,1.243302742504459,1512.99,7.322503828955766,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
280,1,29,127,579,66,2,3,-1.105983752797117,0.0908749589753813,-0.2067936485059295,-1.1889245261288313,1036.21,6.944289694960107,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
149,1,6,679,574,64,2,2,0.7491310601744904,1.3775114021839352,-0.2067936485059295,-0.16412198156090105,305.18,5.724173164303935,-0.9659258262890683,-0.25881904510252063,0.0,1.0
418,1,26,294,417,8,0,2,0.5242686586021743,-1.2100574447132675,-0.2067936485059295,0.46046169641867996,256.05,5.549270618501514,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
64,1,32,36,375,5,2,1,-0.20653414650785276,-0.8383624722307964,-0.2067936485059295,-0.24145971618474077,331.65,5.807090886187896,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191
217,1,11,117,243,96,1,2,1.8172274676429916,0.019395156574906088,-0.2067936485059295,0.45243126891339636,291.27,5.677678032570093,-0.9659258262890683,-0.25881904510252063,0.0,1.0
323,1,31,286,585,71,0,3,-1.330846154369433,0.1623547613758565,-0.2067936485059295,-1.2291920433607844,11.81,2.550226115908643,-0.8660254037844385,-0.5000000000000004,0.0,1.0
396,1,7,453,71,77,0,1,0.35562185742293734,0.37679416857728215,-0.2067936485059295,0.7705895249313122,364.42,5.901047376983519,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
27,1,20,604,71,57,1,3,-1.387061754762512,-0.23793213206680466,-0.2067936485059295,-0.9576292404250898,107.48,4.686565824192085,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
